s12a,s12m,s22a,s22m,wavelengths,s11a,s11m,s21a,s21m
1.1933276245767457,0.9880663712266674,-3.0623123642554715,0.006583156249082615,1.5,-2.7750394272190904,0.000759697304588565,1.1804400572839135,0.9993120552160253
1.1474470182392558,0.9876246333319402,-3.1134339521658734,0.007145993281882386,1.5020408163265306,-2.8748486384317986,0.0007515157636279278,1.1349705781389932,0.9993074250042688
1.1016393041783845,0.987181565915035,-3.159184805730204,0.00769468519981487,1.5040816326530613,-2.9752056821632213,0.0007434717911781716,1.089625142704157,0.9993031177189826
1.0558880026142714,0.9867405826568281,-3.200102481470422,0.008225941408121605,1.506122448979592,-3.071963923535408,0.000735695199839858,1.0443959844573911,0.9992990823603696
1.010200490590705,0.9863103512667827,-3.2370975040147836,0.008730039671356923,1.5081632653061225,-3.1706936025443553,0.000727815016047357,0.9992906207750741,0.9992947774062406
0.964559977933837,0.9858995268791675,-3.2701959745728515,0.009207685842331944,1.510204081632653,-3.2708237038929386,0.000720430862804523,0.9543045594269499,0.9992908342932488
0.9189649561847775,0.9855184171990943,-3.2985176752076977,0.009648073213117371,1.5122448979591836,-3.367381181416001,0.0007116479913832365,0.9094401287588495,0.999287052750422
0.873391609967416,0.985168572439724,-3.32376162996264,0.010041201308510325,1.5142857142857142,-3.466413113988566,0.0007049376772083159,0.8646913180617423,0.9992837642064827
0.8278585406037292,0.9848872845499413,-3.3449291369875627,0.01038155467546671,1.5163265306122449,-3.563280906674484,0.0006973544060577401,0.8200636143317721,0.9992821164622036
0.7823443558600103,0.9846759676668921,-3.362267261198277,0.010658688114851699,1.5183673469387755,-3.6598698917287416,0.0006904419427924489,0.7755546727745775,0.9992785955486344
0.7368702224116425,0.984570917815777,-3.3756608472942227,0.010858185318731567,1.5204081632653061,-3.7577282930083613,0.0006834514161750883,0.7311640386001221,0.9992770770085677
0.6914248855901982,0.9845951418524547,-3.385467709655058,0.010967134564233635,1.5224489795918368,-3.8554353754700794,0.0006770071617324125,0.6868908139644648,0.9992743921405042
0.6460261881488,0.9847696276223855,-3.3917021508535683,0.010967211010788874,1.5244897959183674,-3.9517455848591316,0.0006695731861613218,0.6427322210081748,0.9992723844075273
0.6007195329281225,0.9851519380363811,-3.394613803879402,0.010853443535769435,1.5265306122448983,-4.046420523207239,0.0006626353978573657,0.5986907623067776,0.999271485446513
0.5555154568479508,0.9857397650519157,-3.3963153455031594,0.010600440368655312,1.5285714285714287,-4.143022733741391,0.0006555228879598925,0.5547685045637685,0.9992701757061165
0.5104857371425723,0.9865598589722159,-3.3965957071522728,0.010205614456816612,1.530612244897959,-4.238289848299683,0.000649087455214087,0.5109583134653266,0.9992692271288596
0.4657009228653404,0.987606621598601,-3.398432783754878,0.009659324480299072,1.5326530612244897,-4.333322578990201,0.0006418527403834842,0.46726675544891055,0.9992690102508919
0.4212045319781831,0.9888705136824055,-3.404811447644946,0.008970749509043684,1.5346938775510204,-4.427904747021767,0.0006344530823586877,0.4236861503791319,0.9992685381745602
0.37706075788462334,0.9902901237558179,-3.4188629415453478,0.008156618671307531,1.536734693877551,-4.52195413264473,0.0006265639069541602,0.3802247334283399,0.9992689764093164
0.33331671857972534,0.9918038211590269,-3.450320699855759,0.007245109491784048,1.5387755102040817,-4.615758612569299,0.000621741926103971,0.33687121122374697,0.9992698266142765
0.2899860438712624,0.9933360931482987,-3.503620991654361,0.006279264844456009,1.5408163265306123,-4.710827314974384,0.0006134722837033192,0.29363646877864297,0.9992699068081209
0.24705408618243713,0.9948093297890013,-3.5941873592724543,0.005321813937876681,1.542857142857143,-4.803065197350928,0.0006061066107168492,0.25051350928011257,0.9992713562562276
0.20446221582365623,0.996152159814402,-3.7393628887709207,0.004445497538084802,1.5448979591836736,-4.8967676126149335,0.0005982346365244973,0.20750237161708476,0.9992725602253617
0.16218214910697126,0.9973267108828968,-3.959445258927089,0.00375921174729844,1.546938775510204,-4.988620712510783,0.0005911718334699065,0.16460179781034812,0.9992739195439263
0.12014524452731476,0.9983174231503468,-4.251598234654693,0.00337497321784659,1.5489795918367348,-5.081394278916845,0.0005825547940588173,0.12181515520187133,0.9992763333674031
0.07829377796059425,0.9991061981018263,-4.570944228722254,0.003360387643229393,1.5510204081632653,-5.174138425261265,0.0005740592426774372,0.07913934396081419,0.9992773736006714
0.036581009319398304,0.9997069387434957,-4.846123630070774,0.0036795889359467018,1.5530612244897959,-5.266273846617364,0.0005671586859767102,0.03657584264499443,0.9992799657818763
-0.005031280708246309,1.000138542415057,-5.052500767640688,0.004182708026870768,1.5551020408163265,-5.359363045718315,0.0005579902306824221,-0.0058763549620088175,0.9992818357708629
-0.0465688771395729,1.0004203482936302,-5.200217518185337,0.004772560039914443,1.5571428571428572,-5.449456310601231,0.000550386085475538,-0.04822195917193042,0.9992847348100559
-0.0880425340317817,1.000597570662539,-5.309650188079843,0.005374369488808805,1.5591836734693876,-5.5443769678251,0.0005407895199527462,-0.09045622042565281,0.9992889440304303
-0.1294757016895762,1.0006687286796858,-5.392121311998538,0.005959111299671706,1.5612244897959184,-5.634770678371886,0.0005322935541927305,-0.1325800334385785,0.9992916102367457
-0.17086338084937228,1.0006624531799548,-5.459287493128379,0.00649972014326034,1.563265306122449,-5.726310045684822,0.0005222721286966263,-0.1745990746277802,0.9992959083361761
-0.21220265064962252,1.000594228441139,-5.515419053467631,0.00699145826721585,1.5653061224489797,-5.818061137016835,0.0005132289015255088,-0.21650245918437383,0.999299079155189
-0.2535073442303296,1.0004836513561663,-5.565540869129272,0.007437071676339416,1.5673469387755101,-5.909938855227752,0.0005052491586632349,-0.2583025681990923,0.999302830987764
-0.2947613587277163,1.0003442557952262,-5.6111974468441925,0.00782345210328186,1.569387755102041,-6.002703656400753,0.0004946132604766462,-0.29999675027532713,0.999307545014107
-0.3359659509799857,1.0001847114599192,-5.654850429205464,0.008158420137985008,1.5714285714285714,-6.098331626931345,0.0004838557597116238,-0.34157965315074185,0.9993117229977347
-0.3771171406212185,1.0000029786375324,-5.696020242613005,0.008445905363390108,1.573469387755102,-6.191586956280474,0.00047407545258318335,-0.3830558842147467,0.9993153488506156
-0.4182095582827179,0.9998150160847477,-5.736381808339539,0.008685050385698183,1.5755102040816327,-6.28596167407871,0.0004640093967651637,-0.42442602659856,0.999320706347608
-0.4592379679327754,0.999624023281777,-5.776144976260143,0.008878124287720964,1.577551020408163,-6.381414905966377,0.0004542935447698881,-0.46569026516683193,0.9993254132916615
-0.5002010336938861,0.9994327945666074,-5.8152276466033985,0.009024258990078254,1.579591836734694,-6.473742516276847,0.00044266760320810293,-0.5068470341376767,0.9993288293919569
-0.5410980604104723,0.9992496524797599,-5.855056799219038,0.00913461955597655,1.5816326530612246,-6.5724318438609295,0.0004318724964612169,-0.5479038058386404,0.9993330983637368
-0.5819197492299261,0.9990622314202651,-5.894395823930363,0.009205996318749618,1.5836734693877552,-6.671468355837732,0.0004225251339858973,-0.5888496849829906,0.9993371870246435
-0.6226616105119029,0.998883685490004,-5.934294912893212,0.009238111076437629,1.5857142857142859,-6.770486662298426,0.00041146358256452374,-0.6296932280451806,0.9993427634981246
-0.6633310887538191,0.9987112849248049,-5.974363243401783,0.009237304519300426,1.5877551020408165,-6.870046054876458,0.0004008677429918709,-0.6704316160803758,0.9993475457915375
-0.7039186778294898,0.9985513807619772,-6.014906400460226,0.009200178322937803,1.5897959183673471,-6.970605491754267,0.0003899094802711359,-0.7110659189190985,0.9993516237256866
-0.7444216829461517,0.9983989423228483,-6.0560931946696375,0.009135065113394297,1.5918367346938775,-7.072742432693332,0.0003796378137162866,-0.7515984313229516,0.9993558227053252
-0.7848446910718228,0.9982542498348915,-6.098047907068524,0.009041953149744784,1.593877551020408,-7.179659109756304,0.00036969217976052723,-0.7920263915900189,0.9993607682364817
-0.8251836295382097,0.9981206807294782,-6.140242590037838,0.008919075845821583,1.5959183673469388,-7.286870544294025,0.0003602002898924863,-0.8323530507402459,0.9993648095101222
-0.8654297559021228,0.9979972517139032,-6.183321107704441,0.008768949973474513,1.5979591836734695,-7.391981627066417,0.00034830662601558014,-0.87257343191892,0.9993694052754347
-0.9055960426125144,0.9978832291890201,-6.227709798258357,0.008595430198188819,1.6,-7.505933916330795,0.0003391446778211443,-0.9126973165160784,0.9993738164217476
